Date,prc,vol,ret,ret_cum
2016-04-04,111.12,37243224,0.010273661241931187,1.054769814902705
2016-04-05,109.81,26495312,-0.011789056875449955,1.042335073564309
2016-04-06,110.96,26047772,0.010472634550587223,1.0532510678690077
2016-04-07,108.54,30881022,-0.021809661139149172,1.0302800189843375
2016-04-08,108.66,23514462,0.001105583195135429,1.0314190792596105
2016-04-11,109.02,28313525,0.00331308669243513,1.034836260085429
2016-04-12,110.44,26812000,0.013025133003118805,1.0483151400094919
2016-04-13,112.04,32691799,0.014487504527345152,1.0635026103464638
2016-04-14,112.1,25337435,5.35523027490159e-4,1.0640721404841003
2016-04-15,109.85,46418482,-0.020071364852810025,1.0427147603227334
2016-04-18,107.48,60834027,-0.02157487482931264,1.0202183198860937
2016-04-19,106.91,32292344,-0.005303312244138492,1.0148077835785474
2016-04-20,107.13,28666865,0.002057805630904408,1.016896060749881
2016-04-21,105.97,31356434,-0.010827966022589397,1.0058851447555761
2016-04-22,105.68,33477142,-0.002736623572709207,1.003132415757
2016-04-25,105.08,27950966,-0.005677517032551149,0.9974371143806355
2016-04-26,104.35,40338403,-0.006947087933003471,0.990507831039392
2016-04-27,97.82,113538389,-0.06257786296118828,0.9285239677266252
2016-04-28,94.83,81990674,-0.030566346350439533,0.9001423825344087
2016-04-29,93.74,68334434,-0.011494252873563204,0.8897959183673466
2016-05-02,93.64,47736879,-0.0010667804565819283,0.888846701471286
2016-05-03,95.18,56533960,0.016445963263562735,0.9034646416706216
2016-05-04,94.19,40824776,-0.010401344820340497,0.8940673943996201
2016-05-05,93.24,35763138,-0.010085996390274965,0.8850498338870431
2016-05-06,92.72,43458189,-0.005577005577005578,0.8801139060275271
2016-05-09,92.79,32855251,7.549611734254391e-4,0.8807783578547697
2016-05-10,93.42,33592465,0.006789524733268548,0.8867584242999523
2016-05-11,92.51,28539912,-0.00974095482766002,0.8781205505457995
2016-05-12,90.34,76109795,-0.023456923575829625,0.8575225439012812
2016-05-13,90.52,44188153,0.0019924728802300784,0.8592311343141904
2016-05-16,93.88,61140610,0.03711886875828552,0.8911248220218316
2016-05-17,93.49,46507449,-0.004154239454622899,0.8874228761271948
2016-05-18,94.56,41923114,0.011445074339501593,0.8975794969150448
2016-05-19,94.2,29693945,-0.0038071065989847552,0.8941623160892261
2016-05-20,95.22,31804564,0.010828025477706893,0.9038443284290457
2016-05-23,96.43,37860535,0.012707414408737794,0.9153298528713809
2016-05-24,97.9,35036561,0.015244218604168802,0.9292833412434739
2016-05-25,99.62,38168760,0.01756894790602659,0.9456098718557188
2016-05-26,100.41,56093437,0.007930134511142217,0.9531086853345986
2016-05-27,100.35,36229530,-5.975500448163196e-4,0.9525391551969621
2016-05-31,99.86,42307212,-0.004882909815645209,0.9478879924062644
2016-06-01,98.46,29173285,-0.014019627478469965,0.9345989558614138
2016-06-02,97.72,40191600,-0.007515742433475525,0.9275747508305643
2016-06-03,97.92,28504888,0.002046663937781412,0.9294731846226858
2016-06-06,98.63,23292504,0.007250816993463971,0.9362126245847171
2016-06-07,99.03,22409450,0.004055561188279544,0.9400094921689601
2016-06-08,98.94,20848131,-9.088155104514106e-4,0.9391551969625055
2016-06-09,99.65,26601354,0.007176066302809758,0.9458946369245368
2016-06-10,98.83,31712936,-0.008228800802809855,0.9381110583768386
2016-06-13,97.34,38020494,-0.015076393807548216,0.9239677266255335
2016-06-14,97.46,31931944,0.0012327922745016817,0.9251067869008064
2016-06-15,97.14,29445227,-0.0032833983172583237,0.922069292833412
2016-06-16,97.55,31326815,0.0042207123738933205,0.925961082107261
2016-06-17,95.33,61008219,-0.02275756022552533,0.9048884670147125
2016-06-20,95.1,34411901,-0.0024126717717403157,0.9027052681537727
2016-06-21,95.91,35546358,0.008517350157728698,0.9103939250118648
2016-06-22,95.55,29219122,-0.003753518923991228,0.906976744186046
2016-06-23,96.1,32240187,0.005756148613291545,0.9121974371143803
2016-06-24,93.4,75311356,-0.02809573361082196,0.8865685809207401
2016-06-27,92.04,46622188,-0.0145610278372591,0.8736592311343139
2016-06-28,93.59,40444914,0.01684050412863969,0.8883720930232555
2016-06-29,94.4,36531006,0.008654770808847134,0.8960607498813477
2016-06-30,95.6,35836356,0.012711864406779627,0.9074513526340766
2016-07-01,95.89,26026540,0.0030334728033474256,0.9102040816326529
2016-07-05,94.99,27705210,-0.009385754510376487,0.9016611295681061
2016-07-06,95.53,30949090,0.005684808927255647,0.9067869008068343
2016-07-07,95.94,25139558,0.0042918454935620964,0.9106786900806833
2016-07-08,96.68,28912103,0.007713154054617588,0.9177028951115329
2016-07-11,96.98,23794945,0.0031030202730657486,0.9205505457997151
2016-07-12,97.42,24167463,0.00453701794184358,0.9247271001423824
2016-07-13,96.87,25892171,-0.005645657975774987,0.9195064072140482
2016-07-14,98.79,38918997,0.01982037782595225,0.9377313716184146
2016-07-15,98.78,30136990,-1.0122482032604019e-4,0.9376364499288083
2016-07-18,99.83,36493867,0.010629682121886974,0.9476032273374462
2016-07-19,99.87,23779924,4.00681157968652e-4,0.9479829140958707
2016-07-20,99.96,26275968,9.0117152297986e-4,0.9488372093023253
2016-07-21,99.43,32702028,-0.0053021208483392535,0.9438063597532034
2016-07-22,98.66,28313669,-0.00774414160716097,0.9364973896535355
2016-07-25,97.34,40382921,-0.013379282383944813,0.9239677266255336
2016-07-26,96.67,56239822,-0.006883090199301445,0.9176079734219266
2016-07-27,102.95,92344820,0.0649632771283748,0.9772187944945415
2016-07-28,104.34,39869839,0.013501699854298277,0.9904129093497861
2016-07-29,104.21,27733688,-0.0012459267778417438,0.989178927384907
2016-08-01,106.05,38167871,0.01765665483159018,1.0066445182724248
2016-08-02,104.48,33816556,-0.014804337576614701,0.9917418130042712
2016-08-03,105.79,30202641,0.012538284839203717,1.004176554342667
2016-08-04,105.87,27408650,7.562151432081166e-4,1.0049359278595156
2016-08-05,107.48,40553402,0.01520732974402561,1.0202183198860935
2016-08-08,108.37,28037220,0.008280610346110828,1.0286663502610343
2016-08-09,108.81,26315204,0.004060164252099208,1.0328429046037013
2016-08-10,108,24008505,-0.007444168734491385,1.0251542477456093
2016-08-11,107.93,27484506,-6.481481481480644e-4,1.0244897959183668
2016-08-12,108.18,18660434,0.002316316130825502,1.0268628381585185
2016-08-15,109.48,25868209,0.012017008689221731,1.0392026578073084
2016-08-16,109.38,33794448,-9.134088417976916e-4,1.0382534409112476
2016-08-17,109.22,25355976,-0.0014627902724446695,1.0367346938775504
2016-08-18,109.08,21984703,-0.001281816517121448,1.0354057902230653
2016-08-19,109.36,25368072,0.0025669233590026597,1.0380635975320356
2016-08-22,108.51,25820230,-0.007772494513533235,1.0299952539155193
2016-08-23,108.85,21257669,0.0031333517648142184,1.0332225913621256
2016-08-24,108.03,23675081,-0.007533302710151513,1.0254390128144275
2016-08-25,107.57,25086248,-0.004258076460242566,1.021072615092548
2016-08-26,106.94,27766291,-0.005856651482755382,1.0150925486473654
2016-08-29,106.82,24970300,-0.001122124555825721,1.0139534883720924
2016-08-30,106,24863945,-0.007676465081445372,1.0061699098243944
2016-08-31,106.1,29662406,9.433962264151496e-4,1.0071191267204551
2016-09-01,106.73,26701523,0.0059377945334591065,1.0130991931656381
2016-09-02,107.73,26334858,0.009369436896842442,1.0225913621262455
2016-09-06,107.7,26880391,-2.784739626845445e-4,1.0223065970574272
2016-09-07,108.36,42364328,0.006128133704735417,1.0285714285714282
2016-09-08,105.52,53002026,-0.026208933185677408,1.0016136687233028
2016-09-09,103.13,46556984,-0.02264973464746023,0.9789273849074509
2016-09-12,105.44,45292770,0.022398913992048852,1.000854295206454
2016-09-13,107.95,62176190,0.023805007587253568,1.0246796392975792
2016-09-14,111.77,112340318,0.035386753126447346,1.0609397247270997
2016-09-15,115.57,90613177,0.0339983895499687,1.0970099667774083
2016-09-16,114.92,79886911,-0.0056242969628795825,1.0908400569530134
2016-09-19,113.58,47023046,-0.011660285415941551,1.0781205505457994
2016-09-20,113.57,34514269,-8.804366966019828e-5,1.0780256288561931
2016-09-21,113.55,36003185,-1.7610284406088805e-4,1.0778357854769811
2016-09-22,114.62,31073984,0.009423161602818197,1.0879924062648312
2016-09-23,112.71,52481151,-0.01666375850636892,1.0698623635500708
2016-09-26,112.88,29869442,0.0015082956259426794,1.071476032273374
2016-09-27,113.09,24607412,0.0018603827072998236,1.0734693877551016
2016-09-28,113.95,29641085,0.0076045627376426506,1.0816326530612241
2016-09-29,112.18,35886990,-0.015533128565160093,1.064831514000949
2016-09-30,113.05,36379106,0.007755393118202836,1.0730897009966776
2016-10-03,112.52,21701760,-0.004688191065900016,1.0680588514475555
2016-10-04,113,29736835,0.004265908282971909,1.072615092548647
2016-10-05,113.05,21453089,4.4247787610607325e-4,1.0730897009966773
2016-10-06,113.89,28779313,0.007430340557275539,1.0810631229235876
2016-10-07,114.06,24358443,0.001492668364211136,1.082676791646891
2016-10-10,116.05,36235956,0.01744695774153948,1.1015662078784998
2016-10-11,116.3,64041043,0.0021542438604049696,1.1039392501186516
2016-10-12,117.34,37586787,0.008942390369733433,1.1138111058376834
2016-10-13,116.98,35192406,-0.0030680074995739215,1.1103939250118646
2016-10-14,117.63,35652191,0.005556505385535981,1.1165638348362596
2016-10-17,117.55,23624896,-6.800986142990739e-4,1.115804461319411
2016-10-18,117.47,24553478,-6.805614632071633e-4,1.1150450878025624
2016-10-19,117.12,20034594,-0.0029794841236059355,1.1117228286663499
2016-10-20,117.06,24125801,-5.122950819672623e-4,1.1111532985287134
2016-10-21,116.6,23192665,-0.0039296087476508035,1.1067869008068338
2016-10-24,117.65,23538673,0.009005145797598813,1.116753678215472
2016-10-25,118.25,48128970,0.0050998725031874415,1.1224489795918364
2016-10-26,115.59,66134219,-0.022494714587737774,1.0971998101566205
2016-10-27,114.48,34562045,-0.009602906825849966,1.0866635026103464
2016-10-28,113.72,37861662,-0.00663871418588402,1.0794494542002846
2016-10-31,113.54,26419398,-0.0015828350334153862,1.0777408637873753
2016-11-01,111.49,43825812,-0.018055310903646427,1.0582819174181297
2016-11-02,111.59,28331709,8.969414297246292e-4,1.0592311343141905
2016-11-03,109.83,26932602,-0.015772022582668743,1.0425249169435211
2016-11-04,108.84,30836997,-0.009013930620049071,1.03312766967252
2016-11-07,110.41,32560000,0.014424843807423704,1.0480303749406736
2016-11-08,111.06,24254179,0.005887147903269607,1.0542002847650684
2016-11-09,110.88,59176361,-0.0016207455429497752,1.0524916943521592
2016-11-10,107.79,57134541,-0.02786796536796532,1.023160892263882
2016-11-11,108.43,34143898,0.00593747100844233,1.0292358803986708
2016-11-14,105.71,51175504,-0.025085308493959402,1.0034171808258183
2016-11-15,107.11,32264510,0.013243780153249451,1.0167062173706687
2016-11-16,109.99,58840522,0.026888245728690086,1.0440436639772182
2016-11-17,109.95,26964598,-3.636694244930627e-4,1.0436639772187941
